dataset,regime,u,f,s,draw,n_corrupted,restored_frac,n_clean,wrongly_flipped_frac,restored_frac_unmarked,n_unmarked,restored_frac_falsely_marked,n_falsely_marked,restored_frac_inverted_scale,n_inverted_scale
pilot_holdout,full,0.1,0.03,0.03,11,51,0.43137254901960786,688,0.01744186046511628,0.48,25,0.7142857142857143,14,0.0,11
pilot_holdout,full,0.1,0.03,0.03,12,54,0.35185185185185186,685,0.017518248175182483,0.375,24,0.5714285714285714,14,0.0,14
pilot_holdout,full,0.1,0.03,0.03,13,51,0.5294117647058824,688,0.02180232558139535,0.6153846153846154,26,0.7857142857142857,14,0.0,11
pilot_holdout,full,0.1,0.03,0.03,14,71,0.4507042253521127,668,0.014970059880239521,0.76,25,0.7142857142857143,14,0.06451612903225806,31
pilot_holdout,full,0.1,0.03,0.03,15,52,0.4807692307692308,687,0.018922852983988356,0.46153846153846156,26,0.9285714285714286,14,0.0,12
pilot_holdout,full,0.1,0.03,0.03,16,66,0.36363636363636365,673,0.017830609212481426,0.5769230769230769,26,0.5,14,0.07692307692307693,26
pilot_holdout,full,0.1,0.03,0.03,17,59,0.3728813559322034,680,0.01764705882352941,0.56,25,0.5714285714285714,14,0.0,19
pilot_holdout,full,0.1,0.03,0.03,18,61,0.36065573770491804,678,0.016224188790560472,0.5384615384615384,26,0.5714285714285714,14,0.0,21
pilot_holdout,full,0.1,0.03,0.03,19,57,0.49122807017543857,682,0.01906158357771261,0.76,25,0.5714285714285714,14,0.0,17
pilot_holdout,full,0.1,0.03,0.03,20,65,0.35384615384615387,674,0.020771513353115726,0.5769230769230769,26,0.6153846153846154,13,0.0,25
pilot_holdout,full,0.1,0.03,0.03,21,58,0.5689655172413793,681,0.01762114537444934,0.88,25,0.7142857142857143,14,0.05555555555555555,18
pilot_holdout,full,0.1,0.03,0.03,22,61,0.3442622950819672,678,0.014749262536873156,0.56,25,0.42857142857142855,14,0.047619047619047616,21
pilot_holdout,full,0.1,0.03,0.03,23,59,0.4067796610169492,680,0.023529411764705882,0.6153846153846154,26,0.5714285714285714,14,0.0,19
pilot_holdout,full,0.1,0.03,0.03,24,71,0.36619718309859156,668,0.014970059880239521,0.625,24,0.7692307692307693,13,0.03225806451612903,31
pilot_holdout,full,0.1,0.03,0.03,25,72,0.3611111111111111,667,0.017991004497751123,0.7272727272727273,22,0.6923076923076923,13,0.0,32
pilot_holdout,full,0.1,0.03,0.03,26,58,0.41379310344827586,681,0.016152716593245228,0.625,24,0.6153846153846154,13,0.0,18
pilot_holdout,full,0.1,0.03,0.03,27,56,0.42857142857142855,683,0.017569546120058566,0.6666666666666666,24,0.5714285714285714,14,0.0,16
pilot_holdout,full,0.1,0.03,0.03,28,66,0.3939393939393939,673,0.0237741456166419,0.5833333333333334,24,0.8571428571428571,14,0.0,26
pilot_holdout,full,0.1,0.03,0.03,29,55,0.4909090909090909,684,0.01608187134502924,0.64,25,0.6666666666666666,12,0.13333333333333333,15
