dataset,regime,u,f,s,draw,variant,pearson_r,mae,sign_error_rate,rho,p_at_5,p_at_10,ndcg_at_10
pilot_holdout,full,0.0,0.03,0.03,9,documented,0.7822567908698842,0.12403999948398896,0.11928881538143478,0.5721545529849373,0.7150442477876106,0.6079646017699115,0.8541707190708637
pilot_holdout,full,0.0,0.03,0.03,9,aligned,0.7846527187744208,0.12339483609564474,0.11701467851974365,0.5759840718915095,0.7115044247787611,0.6008849557522125,0.8550634403908607
pilot_holdout,full,0.0,0.03,0.03,9,hyperplane_old,0.5305227158273014,0.16790427972824576,0.2439528633450486,0.469657948313227,0.6548672566371682,0.5601769911504425,0.8121453544936552
pilot_holdout,full,0.0,0.03,0.03,10,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,10,documented,0.8040368528687989,0.12022170701570901,0.11784163737854042,0.5827678235911637,0.7221238938053098,0.6079646017699115,0.8616366609768853
pilot_holdout,full,0.0,0.03,0.03,10,aligned,0.804344897343763,0.12023125373212297,0.11866859623733719,0.5787556201141822,0.7256637168141593,0.6141592920353983,0.8634625210691518
pilot_holdout,full,0.0,0.03,0.03,10,hyperplane_old,0.5389693537962559,0.16629784868066652,0.23713045275997519,0.46695281867217314,0.6601769911504426,0.5610619469026549,0.8119248760449055
pilot_holdout,full,0.0,0.03,0.03,11,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,11,documented,0.776284438652877,0.1232352315401956,0.12073599338432912,0.5903916311739269,0.7097345132743363,0.611504424778761,0.8630619512610457
pilot_holdout,full,0.0,0.03,0.03,11,aligned,0.7810585543058518,0.12178167655609379,0.11701467851974365,0.594810394244236,0.720353982300885,0.6079646017699115,0.8649680135849651
pilot_holdout,full,0.0,0.03,0.03,11,hyperplane_old,0.5335810364309652,0.167990163798902,0.24457308248914617,0.4688940612303002,0.6442477876106194,0.5601769911504425,0.8094545178852053
pilot_holdout,full,0.0,0.03,0.03,12,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,12,documented,0.7856855173395992,0.12419222431114259,0.12549100682241057,0.5836295863420805,0.7221238938053097,0.604424778761062,0.8586413307421406
pilot_holdout,full,0.0,0.03,0.03,12,aligned,0.7849714726351192,0.12472720519346846,0.12569774653710977,0.5773666625401422,0.7079646017699115,0.6,0.8567477405717211
pilot_holdout,full,0.0,0.03,0.03,12,hyperplane_old,0.5124615201546117,0.172518120814819,0.2565639859416994,0.46276052554269675,0.6513274336283186,0.5566371681415929,0.8015301430326359
pilot_holdout,full,0.0,0.03,0.03,13,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,13,documented,0.7505954054074507,0.13076525291397603,0.13975604713665496,0.571441017280836,0.7185840707964603,0.5982300884955754,0.8550609495052507
pilot_holdout,full,0.0,0.03,0.03,13,aligned,0.7586838284370843,0.1285428843231329,0.13789538970436221,0.5783491673492892,0.7256637168141593,0.6106194690265486,0.861741292936914
pilot_holdout,full,0.0,0.03,0.03,13,hyperplane_old,0.4854000188930003,0.1752576961923467,0.2664874922472607,0.467704290491031,0.6407079646017699,0.5442477876106195,0.8002147085615731
pilot_holdout,full,0.0,0.03,0.03,14,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,14,documented,0.7454580738861973,0.12897649122182295,0.1316931982633864,0.5793668059464332,0.7061946902654866,0.6079646017699115,0.8543365358501994
pilot_holdout,full,0.0,0.03,0.03,14,aligned,0.7477809472272786,0.1286733305471128,0.13065949968989043,0.5793869578577977,0.7132743362831859,0.6123893805309736,0.8566038829561389
pilot_holdout,full,0.0,0.03,0.03,14,hyperplane_old,0.5519018248076777,0.1646107974147525,0.230514781889601,0.4781481213135851,0.6601769911504426,0.5663716814159292,0.8162149511701374
pilot_holdout,full,0.0,0.03,0.03,15,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,15,documented,0.730126354386093,0.1312318499180399,0.1414099648542485,0.5797422083504632,0.7185840707964604,0.611504424778761,0.8563331382101854
pilot_holdout,full,0.0,0.03,0.03,15,aligned,0.7344327707562417,0.13046176535161313,0.13727517056026461,0.5867418598285582,0.7238938053097345,0.6097345132743364,0.8609292412246747
pilot_holdout,full,0.0,0.03,0.03,15,hyperplane_old,0.5396463922564203,0.16572826799141308,0.23713045275997519,0.48078688202714415,0.6707964601769911,0.5699115044247788,0.8182880630300827
pilot_holdout,full,0.0,0.03,0.03,16,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,16,documented,0.7860435530415213,0.12158043479730389,0.1118461856522638,0.5990563173749972,0.7115044247787611,0.611504424778761,0.8617642851300862
pilot_holdout,full,0.0,0.03,0.03,16,aligned,0.7824960800592626,0.12298133527460486,0.11453380194335332,0.5876678149810792,0.7132743362831858,0.5991150442477877,0.8570325198706606
pilot_holdout,full,0.0,0.03,0.03,16,hyperplane_old,0.509001114295498,0.1708839821179877,0.2538763696506099,0.466124693352965,0.6442477876106194,0.5601769911504425,0.8047481518459436
pilot_holdout,full,0.0,0.03,0.03,17,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,17,documented,0.7597826942386812,0.12575026797168676,0.13293363655158155,0.5974575962182475,0.7238938053097345,0.6026548672566371,0.8606989873186772
pilot_holdout,full,0.0,0.03,0.03,17,aligned,0.7614949544782708,0.1255629695794796,0.13065949968989043,0.5946574448267262,0.7221238938053097,0.6061946902654868,0.8615294374612309
pilot_holdout,full,0.0,0.03,0.03,17,hyperplane_old,0.4982036830911983,0.1729049229121465,0.2578044242298946,0.46824131707492916,0.6530973451327434,0.5548672566371681,0.8059103498827379
pilot_holdout,full,0.0,0.03,0.03,18,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,18,documented,0.744555100880159,0.13022060763224758,0.13727517056026461,0.5791770435796916,0.7221238938053098,0.6150442477876106,0.8609859694325278
pilot_holdout,full,0.0,0.03,0.03,18,aligned,0.7477458071603579,0.12931815166466867,0.13355385569567915,0.5810558869130668,0.7309734513274336,0.6150442477876106,0.8637537930049671
pilot_holdout,full,0.0,0.03,0.03,18,hyperplane_old,0.5085677975945226,0.17201909271271235,0.2578044242298946,0.44847370928573155,0.6460176991150443,0.5513274336283186,0.80404799259621
pilot_holdout,full,0.0,0.03,0.03,19,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,19,documented,0.7509212178920026,0.12560210382954107,0.12962580111639446,0.6020587764522305,0.7256637168141593,0.6176991150442479,0.8618440400411211
pilot_holdout,full,0.0,0.03,0.03,19,aligned,0.7494336907137529,0.1263568557739486,0.1310729791192888,0.5970812630911371,0.7203539823008849,0.6106194690265486,0.8609754501314689
pilot_holdout,full,0.0,0.03,0.03,19,hyperplane_old,0.5358964001388857,0.16727684910999796,0.2404382881951623,0.4740937844603043,0.6530973451327434,0.5557522123893806,0.8082323841581263
pilot_holdout,full,0.0,0.03,0.03,20,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,20,documented,0.7491819828005579,0.12706992003346854,0.124870787678313,0.5961720388275209,0.7238938053097345,0.6194690265486725,0.8696402716155907
pilot_holdout,full,0.0,0.03,0.03,20,aligned,0.7511358291482878,0.12685334191866945,0.12218317138722348,0.5934322815256504,0.7309734513274336,0.6141592920353983,0.8696434368668811
pilot_holdout,full,0.0,0.03,0.03,20,hyperplane_old,0.5126322633870403,0.17079594861566122,0.24870787678313003,0.47035812457454973,0.6477876106194691,0.5530973451327434,0.8072806323999987
pilot_holdout,full,0.0,0.03,0.03,21,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,21,documented,0.7364414544645193,0.12895474076338675,0.13438081455447592,0.5888910113871533,0.7274336283185839,0.6176991150442479,0.8607314034314376
pilot_holdout,full,0.0,0.03,0.03,21,aligned,0.7423803025450639,0.12751924029617082,0.12797188339880092,0.5962469215048039,0.7238938053097345,0.611504424778761,0.8644491784362375
pilot_holdout,full,0.0,0.03,0.03,21,hyperplane_old,0.4596993536010973,0.17604686055376884,0.2633863965267728,0.4758168165635634,0.6654867256637167,0.5584070796460177,0.8083757799189715
pilot_holdout,full,0.0,0.03,0.03,22,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,22,documented,0.7383904256875544,0.12636284786720794,0.12073599338432912,0.5998653908780975,0.7309734513274336,0.615929203539823,0.8675648183706577
pilot_holdout,full,0.0,0.03,0.03,22,aligned,0.7362831880709597,0.1263481716344686,0.11866859623733719,0.6047428386982499,0.7327433628318585,0.6123893805309736,0.8673726920240098
pilot_holdout,full,0.0,0.03,0.03,22,hyperplane_old,0.48559270618155204,0.17238424345723288,0.25491006822410583,0.4819470936281173,0.6601769911504426,0.5566371681415929,0.8100238226593971
pilot_holdout,full,0.0,0.03,0.03,23,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
